BYTE # (dec), BYTE # (hex), EEPROM DESCRIPTION
0, 00, THROTTLE TYPE
1, 01, BRAKE PRESSURE TYPE
2, 02, TRANSMISSION TYPE
3, 03, MOTOR H2O SENS. TYPE
4, 04, STEALTH MAP NO.
5, 05, SPORT MAP NO.
6, 06, OVERBOOST MAP NO.
7, 07, BATT H2O SENSOR TYPE
8, 08, TURBO BOOST FILL
9, 09, BOOST LIMIT
10, 0A, REGEN LIMIT
11, 0B, 1ST GEAR MULTIPLIER
12, 0C, 2ND GEAR MULTIPLIER
13, 0D, 3RD GEAR MULTIPLIER
14, 0E, 4TH GEAR MULTIPLIER
15, 0F, 5TH GEAR MULTIPLIER
16, 10, 6TH GEAR MULTIPLIER
17, 11, 7TH GEAR MULTIPLIER
18, 12, 8TH GEAR MULTIPLIER
19, 13, 1ST RATIO *50
20, 14, 2ND RATIO *100
21, 15, 3RD RATIO *100
22, 16, 4TH RATIO *100
23, 17, 5TH RATIO *100
24, 18, 6TH RATIO *100
25, 19, 7TH RATIO *100
26, 1A, 8TH RATIO *100
27, 1B, FINAL RATIO *50
28, 1C, TRACK MODE TIMER
29, 1D, GEVCU 7 VERSION
30, 1E, ANLG THRTL-HIGH-1
31, 1F, ANLG THRTL-HIGH-2
32, 20, ANLG THRTL-LOW-1
33, 21, ANLG THRTL-LOW-2
34, 22, ANLG BRAKE-HIGH-1
35, 23, ANLG BRAKE-HIGH-2
36, 24, ANLG BRAKE-LOW-1
37, 25, ANLG BRAKE-LOW-2
38, 26, TIRE CIRC_MM-1
39, 27, TIRE CIRC_MM-2
40, 28, PUSH TO PASS BUTTON
41, 29, MODE SELECT SWITCH
42, 2A, ABS SENSOR TEETH
43, 2B, CAN LGGR ID-1
44, 2C, CAN LGGR ID-2
45, 2D, CAN LGGR ID-3
46, 2E, CAN LGGR ID-4
47, 2F, INVERTER TYPE
48, 30, EEPROM BYTE 48
49, 31, EEPROM BYTE 49
50, 32, EEPROM BYTE 50
